Text_ID,Mobile_Tech_Flag_Predicted,Brands_Entity_Identified,Sentiment_Identified
article_4001,0,,
article_4002,0,,
article_4003,0,,
article_4004,0,,
article_4005,0,,
article_4006,0,,
article_4007,0,,
article_4008,0,,
article_4009,0,,
article_4010,0,,
article_4011,0,,
article_4012,0,,
article_4013,1,,
article_4014,0,,
article_4015,0,,
article_4016,0,,
article_4017,0,,
article_4018,0,,
article_4019,0,,
article_4020,0,,
article_4021,0,,
article_4022,0,,
article_4023,0,,
article_4024,0,,
article_4025,0,,
article_4026,0,,
article_4027,0,,
article_4028,0,,
article_4029,0,,
article_4030,0,,
article_4031,0,,
article_4032,0,,
article_4033,0,,
article_4034,0,,
article_4035,0,,
article_4036,0,,
article_4037,0,,
article_4038,0,,
article_4039,0,,
article_4040,0,,
article_4041,0,,
article_4042,0,,
article_4043,0,,
article_4044,0,,
article_4045,0,,
article_4046,0,,
article_4047,0,,
article_4048,0,,
article_4049,0,,
article_4050,0,,
article_4051,0,,
article_4052,0,,
article_4053,0,,
article_4054,0,,
article_4055,0,,
article_4056,0,,
article_4058,0,,
article_4059,0,,
article_4060,0,,
article_4061,0,,
article_4062,0,,
article_4063,0,,
article_4064,0,,
article_4065,0,,
article_4066,0,,
article_4067,0,,
article_4068,0,,
article_4069,0,,
article_4070,0,,
article_4071,0,,
article_4072,0,,
article_4073,0,,
article_4074,0,,
article_4075,0,,
article_4076,0,,
article_4077,0,,
article_4078,0,,
article_4079,0,,
article_4080,0,,
article_4081,0,,
article_4082,0,,
article_4083,0,,
article_4084,0,,
article_4085,0,,
article_4086,0,,
article_4087,0,,
article_4088,0,,
article_4089,0,,
article_4090,0,,
article_4091,0,,
article_4092,0,,
article_4093,0,,
article_4094,0,,
article_4095,0,,
article_4096,0,,
article_4097,0,,
article_4098,0,,
article_4099,0,,
article_4100,0,,
article_4101,0,,
article_4102,0,,
article_4103,0,,
article_4104,0,,
article_4105,0,,
article_4106,0,,
article_4107,0,,
article_4108,0,,
article_4109,0,,
article_4110,0,,
article_4111,0,,
article_4112,0,,
article_4113,0,,
article_4114,0,,
article_4115,0,,
article_4116,0,,
article_4117,0,,
article_4118,0,,
article_4119,0,,
article_4120,0,,
article_4121,0,,
article_4122,0,,
article_4123,0,,
article_4124,0,,
article_4125,0,,
article_4126,0,,
article_4127,0,,
article_4128,0,,
article_4129,0,,
article_4130,0,,
article_4131,0,,
article_4132,0,,
article_4133,0,,
article_4134,0,,
article_4135,0,,
article_4136,0,,
article_4137,0,,
article_4138,0,,
article_4139,0,,
article_4140,0,,
article_4141,0,,
article_4142,0,,
article_4143,0,,
article_4144,0,,
article_4145,0,,
article_4146,0,,
article_4148,0,,
article_4149,0,,
article_4150,0,,
article_4151,1,,
article_4152,1,['Poco'],['neutral']
article_4153,0,,
article_4154,0,,
article_4155,0,,
article_4156,1,['Poco'],['neutral']
article_4157,1,['Google'],['negative']
article_4158,1,,
article_4159,1,['oneplus'],['positive']
article_4160,1,,
article_4161,1,['Samsung'],['neutral']
article_4162,0,,
article_4163,1,['Samsung'],['neutral']
article_4164,1,['oneplus'],['positive']
article_4165,1,['Poco'],['neutral']
article_4166,1,['Samsung'],['neutral']
article_4167,0,,
article_4168,1,['Samsung'],['positive']
article_4169,1,['oneplus'],['positive']
article_4170,0,,
article_4171,1,,
article_4172,1,['poco'],['neutral']
article_4173,1,['Samsung'],['neutral']
article_4174,1,['Vivo'],['positive']
article_4175,1,['infinix'],['neutral']
article_4176,1,['Nokia'],['neutral']
article_4177,1,['Realme'],['neutral']
article_4178,1,['tecno'],['positive']
article_4179,1,['Samsung'],['neutral']
article_4180,1,"['Moto', 'Oneplus']","['neutral', 'positive']"
article_4181,0,,
article_4182,1,,
article_4183,1,['Samsung'],['positive']
article_4184,1,['Samsung'],['positive']
article_4185,1,['Oppo'],['neutral']
article_4186,0,,
article_4187,1,['Motorola'],['positive']
article_4188,0,,
article_4189,1,['Amazon'],['positive']
article_4190,0,,
article_4191,1,,
article_4192,1,['infinix'],['positive']
article_4193,1,['OnePlus'],['positive']
article_4194,1,"['Samsung', 'Motorola']","['neutral', 'neutral']"
article_4195,1,"['Motorola', 'Moto']","['neutral', 'neutral']"
article_4196,1,['Samsung'],['neutral']
article_4197,1,,
article_4198,1,,
article_4199,1,['Realme'],['positive']
article_4200,1,,
article_4201,0,,
article_4202,0,,
article_4203,0,,
article_4204,1,['google'],['positive']
article_4205,0,,
article_4206,0,,
article_4207,0,,
article_4208,0,,
article_4209,0,,
article_4210,0,,
article_4211,1,['Samsung'],['positive']
article_4212,1,['Samsung'],['neutral']
article_4213,0,,
article_4214,1,['realme'],['negative']
article_4215,0,,
article_4216,0,,
article_4217,1,['Samsung'],['positive']
article_4218,1,"['Samsung', 'Google']","['negative', 'neutral']"
article_4219,0,,
article_4220,0,,
article_4221,0,,
article_4222,0,,
article_4223,0,,
article_4224,1,"['Oppo', 'Vivo']","['negative', 'negative']"
tweet_4001,0,,
tweet_4002,0,,
tweet_4003,0,,
tweet_4004,0,,
tweet_4005,0,,
tweet_4006,0,,
tweet_4007,0,,
tweet_4008,0,,
tweet_4009,0,,
tweet_4010,0,,
tweet_4011,0,,
tweet_4012,0,,
tweet_4013,0,,
tweet_4014,0,,
tweet_4015,0,,
tweet_4016,0,,
tweet_4017,0,,
tweet_4018,0,,
tweet_4019,0,,
tweet_4020,0,,
tweet_4021,0,,
tweet_4022,0,,
tweet_4023,0,,
tweet_4024,0,,
tweet_4025,0,,
tweet_4026,0,,
tweet_4027,0,,
tweet_4028,0,,
tweet_4029,0,,
tweet_4030,0,,
tweet_4031,0,,
tweet_4032,0,,
tweet_4033,0,,
tweet_4034,0,,
tweet_4035,0,,
tweet_4036,0,,
tweet_4037,0,,
tweet_4038,0,,
tweet_4039,0,,
tweet_4040,0,,
tweet_4041,0,,
tweet_4042,0,,
tweet_4043,0,,
tweet_4044,0,,
tweet_4045,0,,
tweet_4046,0,,
tweet_4047,0,,
tweet_4048,0,,
tweet_4049,0,,
tweet_4050,0,,
tweet_4051,0,,
tweet_4052,0,,
tweet_4053,0,,
tweet_4054,0,,
tweet_4055,0,,
tweet_4056,0,,
tweet_4057,0,,
tweet_4058,0,,
tweet_4059,0,,
tweet_4060,0,,
tweet_4061,0,,
tweet_4062,0,,
tweet_4063,0,,
tweet_4064,0,,
tweet_4065,0,,
tweet_4066,0,,
tweet_4067,0,,
tweet_4068,0,,
tweet_4069,0,,
tweet_4070,0,,
tweet_4071,0,,
tweet_4072,0,,
tweet_4073,0,,
tweet_4074,0,,
tweet_4075,0,,
tweet_4076,0,,
tweet_4077,0,,
tweet_4078,0,,
tweet_4079,0,,
tweet_4080,0,,
tweet_4081,0,,
tweet_4082,0,,
tweet_4083,0,,
tweet_4084,0,,
tweet_4085,0,,
tweet_4086,0,,
tweet_4087,0,,
tweet_4088,0,,
tweet_4089,0,,
tweet_4090,0,,
tweet_4091,0,,
tweet_4092,0,,
tweet_4093,0,,
tweet_4094,0,,
tweet_4095,0,,
tweet_4096,0,,
tweet_4097,0,,
tweet_4098,0,,
tweet_4099,0,,
tweet_4100,0,,
tweet_4101,0,,
tweet_4102,0,,
tweet_4103,0,,
tweet_4104,0,,
tweet_4105,0,,
tweet_4106,0,,
tweet_4107,0,,
tweet_4108,0,,
tweet_4109,0,,
tweet_4110,0,,
tweet_4111,0,,
tweet_4112,0,,
tweet_4113,0,,
tweet_4114,0,,
tweet_4115,0,,
tweet_4116,0,,
tweet_4117,0,,
tweet_4118,0,,
tweet_4119,0,,
tweet_4120,0,,
tweet_4121,0,,
tweet_4122,0,,
tweet_4123,0,,
tweet_4124,0,,
tweet_4125,0,,
tweet_4126,0,,
tweet_4127,0,,
tweet_4128,0,,
tweet_4129,0,,
tweet_4130,0,,
tweet_4131,0,,
tweet_4132,0,,
tweet_4133,0,,
tweet_4134,0,,
tweet_4135,0,,
tweet_4136,0,,
tweet_4137,0,,
